Model_Name,WER,CER,Combined_Score,timestamp,License,Model_URL
djelia/asr-v2,0.475041920233161,0.13563343206932,0.3732193737840086,2025-12-13 21:20:03,Proprietary,
djelia/asr-v1,0.4856333307102457,0.1300139362043154,0.3789475123584666,2025-12-13 21:19:09,Proprietary,
facebook/mms-1b-all,0.6105655999290758,0.14705270029061576,0.47151173003753777,2025-12-13 21:21:07,Open Source,https://huggingface.co/facebook/mms-1b-all
sed/test/v2,0.6217296748901153,0.1859840751691526,0.4910059949738264,2025-11-25 03:03:01,Unknown,
